timestamp,global_step,epoch,iter,loss
2026-04-19T02:35:39.792310+00:00,66,1,65,3.0986013412475586
2026-04-19T02:35:39.868317+00:00,67,1,66,3.112527370452881
2026-04-19T02:35:39.955831+00:00,68,1,67,3.1411216259002686
2026-04-19T02:35:40.027350+00:00,69,1,68,3.1043102741241455
2026-04-19T02:35:40.105866+00:00,70,1,69,3.0927610397338867
2026-04-19T02:35:40.193401+00:00,71,1,70,3.0884735584259033
2026-04-19T02:35:40.270403+00:00,72,1,71,3.1158995628356934
2026-04-19T02:35:40.347922+00:00,73,1,72,3.105442523956299
2026-04-19T02:35:40.425444+00:00,74,1,73,3.1208102703094482
2026-04-19T02:35:40.498975+00:00,75,1,74,3.0731451511383057
2026-04-19T02:35:40.582988+00:00,76,1,75,3.110316753387451
2026-04-19T02:35:40.683500+00:00,77,1,76,3.075089454650879
2026-04-19T02:35:40.768018+00:00,78,1,77,3.123434543609619
2026-04-19T02:35:40.865563+00:00,79,1,78,3.0757579803466797
2026-04-19T02:35:40.961078+00:00,80,1,79,3.1173956394195557
2026-04-19T02:35:41.037597+00:00,81,1,80,3.1998729705810547
2026-04-19T02:35:41.115802+00:00,82,1,81,3.10031795501709
2026-04-19T02:35:41.214319+00:00,83,1,82,3.068049907684326
2026-04-19T02:35:41.301866+00:00,84,1,83,3.102414608001709
2026-04-19T02:35:41.402380+00:00,85,1,84,3.081658124923706
2026-04-19T02:35:41.507911+00:00,86,1,85,3.1465494632720947
2026-04-19T02:35:41.582921+00:00,87,1,86,3.131727695465088
2026-04-19T02:35:41.665433+00:00,88,1,87,3.089078664779663
2026-04-19T02:35:41.739954+00:00,89,1,88,3.095820903778076
2026-04-19T02:35:41.822487+00:00,90,1,89,3.120983362197876
2026-04-19T02:35:41.897016+00:00,91,1,90,3.0728530883789062
2026-04-19T02:35:41.976024+00:00,92,1,91,3.1110799312591553
2026-04-19T02:35:42.077546+00:00,93,1,92,3.1302664279937744
2026-04-19T02:35:42.160055+00:00,94,1,93,3.086209297180176
2026-04-19T02:35:42.231571+00:00,95,1,94,3.0923306941986084
2026-04-19T02:35:42.315099+00:00,96,1,95,3.089700698852539
2026-04-19T02:35:42.391635+00:00,97,1,96,3.1447649002075195
2026-04-19T02:35:42.476642+00:00,98,1,97,3.1264822483062744
2026-04-19T02:35:42.550158+00:00,99,1,98,3.0900115966796875
2026-04-19T02:35:42.679362+00:00,100,1,99,3.081026554107666
2026-04-19T02:35:42.751871+00:00,101,1,100,3.131906032562256
2026-04-19T02:35:42.880394+00:00,102,1,101,3.0940542221069336
2026-04-19T02:35:42.954437+00:00,103,1,102,3.1058897972106934
2026-04-19T02:35:43.034957+00:00,104,1,103,3.1091911792755127
2026-04-19T02:35:43.123538+00:00,105,1,104,3.0963101387023926
2026-04-19T02:35:43.213987+00:00,106,1,105,3.1112353801727295
2026-04-19T02:35:43.290506+00:00,107,1,106,3.1800620555877686
2026-04-19T02:35:43.363507+00:00,108,1,107,3.0833752155303955
2026-04-19T02:35:43.438027+00:00,109,1,108,3.092937707901001
2026-04-19T02:35:43.516552+00:00,110,1,109,3.117053747177124
2026-04-19T02:35:43.591087+00:00,111,1,110,3.0839037895202637
2026-04-19T02:35:43.673086+00:00,112,1,111,3.1261563301086426
2026-04-19T02:35:43.744609+00:00,113,1,112,3.1158673763275146
2026-04-19T02:35:43.848126+00:00,114,1,113,3.079561471939087
2026-04-19T02:35:43.957664+00:00,115,1,114,3.0752456188201904
2026-04-19T02:35:44.039187+00:00,116,1,115,3.0846238136291504
2026-04-19T02:35:44.108719+00:00,117,1,116,3.0883615016937256
2026-04-19T02:35:44.189235+00:00,118,1,117,3.134758949279785
2026-04-19T02:35:44.264247+00:00,119,1,118,3.089991807937622
2026-04-19T02:35:44.340762+00:00,120,1,119,3.079949378967285
2026-04-19T02:35:44.414291+00:00,121,1,120,3.0630996227264404
2026-04-19T02:35:44.496819+00:00,122,1,121,3.0889644622802734
2026-04-19T02:35:44.573820+00:00,123,1,122,3.142655611038208
2026-04-19T02:35:44.661339+00:00,124,1,123,3.080185651779175
2026-04-19T02:35:44.736858+00:00,125,1,124,3.113112688064575
2026-04-19T02:35:44.819388+00:00,126,1,125,3.146980047225952
2026-04-19T02:35:44.892916+00:00,127,1,126,3.1327931880950928
2026-04-19T02:35:44.973914+00:00,128,1,127,3.1043930053710938
2026-04-19T02:35:45.049437+00:00,129,1,128,3.0909247398376465
2026-04-19T02:35:45.132959+00:00,130,1,129,3.078502893447876
2026-04-19T02:35:45.208488+00:00,131,1,130,3.0979857444763184
2026-04-19T02:35:45.310003+00:00,132,1,131,3.107550621032715
2026-04-19T02:35:45.397537+00:00,133,1,132,3.09243106842041
2026-04-19T02:35:45.474585+00:00,134,1,133,3.183056116104126
